Id,SalePrice
1461,127250.45
1462,145025.47
1463,191014.0
1464,203465.9
1465,202441.08
1466,170343.77
1467,157292.16
1468,175683.16
1469,187219.06
1470,127777.22
1471,194413.22
1472,95424.84
1473,102112.04
1474,150134.88
1475,113589.125
1476,382412.7
1477,255988.53
1478,264229.84
1479,275534.94
1480,425927.06
1481,347330.44
1482,203667.94
1483,173215.9
1484,178782.25
1485,148369.12
1486,188854.4
1487,369483.97
1488,258232.72
1489,196855.05
1490,232516.31
1491,168199.88
1492,116414.36
1493,181911.03
1494,275612.38
1495,305833.3
1496,244052.92
1497,199589.75
1498,161515.66
1499,159143.16
1500,156663.03
1501,175099.84
1502,151317.66
1503,248645.78
1504,233047.6
1505,235791.12
1506,228508.31
1507,296813.88
1508,201047.1
1509,159308.06
1510,153711.33
1511,150046.25
1512,199104.72
1513,149153.4
1514,171912.1
1515,260836.88
1516,141498.58
1517,152675.66
1518,156747.73
1519,240497.97
1520,139388.47
1521,138786.16
1522,163413.12
1523,113111.016
1524,134769.75
1525,130931.55
1526,132467.78
1527,103878.95
1528,136281.06
1529,140078.11
1530,204039.45
1531,128055.56
1532,102853.766
1533,158332.56
1534,116111.3
1535,185471.27
1536,136381.88
1537,82388.5
1538,138741.42
1539,161175.22
1540,135965.69
1541,134629.16
1542,169044.03
1543,181772.83
1544,95001.34
1545,95311.39
1546,125015.72
1547,116850.03
1548,132556.88
1549,101228.41
1550,153739.39
1551,131797.25
1552,169310.47
1553,137553.88
1554,122965.47
1555,190066.2
1556,108367.84
1557,128848.55
1558,84143.78
1559,114403.35
1560,154524.12
1561,178225.1
1562,127551.45
1563,129051.85
1564,179224.03
1565,139890.23
1566,212650.56
1567,92381.41
1568,201156.06
1569,153275.88
1570,126885.87
1571,128619.68
1572,142064.56
1573,238643.98
1574,144337.62
1575,223388.25
1576,214056.62
1577,191831.02
1578,123325.45
1579,147912.58
1580,185207.4
1581,148544.05
1582,128204.7
1583,350619.78
1584,259149.72
1585,139839.94
1586,76875.195
1587,86275.35
1588,157393.34
1589,118106.516
1590,130154.64
1591,97818.0
1592,156656.33
1593,115856.45
1594,157179.52
1595,106324.414
1596,264357.5
1597,177613.72
1598,168790.56
1599,138309.28
1600,173221.44
1601,106373.78
1602,120955.19
1603,101799.25
1604,295327.4
1605,256035.03
1606,158762.19
1607,309082.25
1608,198162.34
1609,185744.0
1610,154220.62
1611,147262.69
1612,213965.52
1613,190968.88
1614,138146.6
1615,98148.375
1616,95191.36
1617,105503.234
1618,136429.14
1619,125989.42
1620,252204.69
1621,161747.33
